tabelle,ma_zeilen,ma_lesen,ma_anlegen,ma_aendern
abo_rechnungen,0,true,true,true
abteilungen,0,true,false,false
academy_fortschritt,0,false,false,false
academy_kurse_eigen,0,true,false,false
academy_medaillen,0,false,false,false
ads_ergebnis,0,false,false,false
ads_kampagne,0,false,false,false
ads_kanal,0,false,false,false
ads_schaltung,0,false,false,false
ads_zugang,0,false,false,false
agentur_retainer,0,true,true,false
agentur_zeiten,0,true,true,false
agrar_massnahmen,0,true,true,false
agrar_schlaege,0,true,true,false
anfahrt_konfig,0,true,false,false
angebot_bundle,0,true,true,true
angebot_positionen,0,true,false,false
angebote,0,true,false,false
anlagegueter,0,true,true,true
api_schluessel,0,false,false,false
artikel,0,true,true,true
artikel_bestand_standort,0,true,true,true
artikel_standorte,0,true,false,false
asset_gruppen,0,true,true,true
assets,0,true,true,true
audit_log,0,true,false,false
aufgaben,0,true,false,false
aufgaben_kommentare,0,false,false,false
aufmass_positionen,0,true,false,false
aufmasse,0,true,false,false
auftraege,0,true,true,true
auftrag_positionen,0,false,false,false
ausgaben,0,false,false,false
ausschreibung,0,false,false,false
ausschreibung_profil,0,false,false,false
automation_log,0,true,false,false
automation_regeln,0,true,false,false
autoresponder_lauf,0,true,true,true
autoresponder_schritt,0,true,true,true
autoresponder_sequenz,0,true,true,true
autoresponder_versand,0,true,false,false
bank_zugang,0,false,false,false
bau_abnahmen,0,true,true,false
bau_gewaehrleistung,0,false,false,false
bau_lv,0,true,true,true
bau_lv_positionen,0,true,true,true
bau_maengelruege,0,true,false,false
bau_nachtrag,0,true,true,false
bau_plan,0,true,true,false
bau_plan_pin,0,true,true,true
baustellen_fotos,0,true,true,false
bautagebuch,0,true,true,true
bde_buchung,0,true,true,true
bde_maschine,0,true,true,true
bde_stoerung,0,true,true,false
beispiel_datensatz,0,false,false,false
belege,0,false,false,false
belegung_einheit,0,true,true,true
belegung_vorgang,0,true,true,true
benachrichtigungen,0,false,false,false
bestellpositionen,0,true,true,true
bestellung,0,true,true,true
bestellung_position,0,true,true,true
bestellungen,0,true,true,true
betrieb_integrationen,0,false,false,false
betriebs_geheimnisse,0,false,false,false
betriebs_standort,0,true,false,false
bewerber,0,false,false,false
bewertungsanfragen,0,true,false,false
bfsg_angaben,0,false,false,false
bildung_anmeldungen,0,true,true,true
bildung_anwesenheit,0,true,true,true
bildung_honorar,0,false,false,false
bildung_kurse,0,true,true,false
bildung_termine,0,true,true,true
bk_abrechnung,0,true,true,true
bk_einheit,0,true,true,true
bk_kostenart,0,true,true,true
buchungen,0,true,false,false
charge_los,0,true,true,true
charge_merkmal,0,true,true,true
charge_pruefung,0,true,true,true
charge_verwendung,0,true,true,true
chat_tarif,0,false,false,false
chat_verbrauch,0,false,false,false
crm_deal,0,true,true,true
dialog_einstellung,0,true,false,false
document_standorte,0,true,false,false
dsgvo_anfragen,0,true,true,true
dsgvo_loeschungen,0,true,false,false
dsgvo_verfahren,0,true,true,true
eigenes_feld,0,true,true,true
eigenes_feld_wert,0,true,true,true
eingangsbelege,0,true,true,true
einsaetze,0,true,true,true
einsatz_fotos,0,true,false,false
einsatz_positionen,0,true,false,false
elster_zugang,0,false,false,false
energie_ablesungen,0,true,true,false
energie_anlagen,0,true,true,true
erechnung_archiv,0,true,true,false
erinnerung,0,true,true,true
ernte_ernte,0,true,true,true
ertrag_ablesung,0,true,true,true
ertrag_anlage,0,true,true,true
etikett_produkt,0,true,true,true
event_anmeldung,0,true,true,true
event_veranstaltung,0,true,true,true
expose,0,true,true,true
