tabelle,rls_an,regeln,lesen,anlegen,aendern,loeschen,alles,mitarbeiter_regel,offen_fuer_alle,hat_owner
academy_kurse,true,1,1,0,0,0,0,false,true,false
agents,true,1,1,0,0,0,0,false,true,false
automatisierungen,true,1,1,0,0,0,0,false,true,false
betreiber_flags,true,1,1,0,0,0,0,false,true,false
abo_rechnungen,true,4,1,1,1,0,1,true,false,true
abteilungen,true,2,1,0,0,0,1,true,false,true
academy_fortschritt,true,4,1,1,1,1,0,false,false,true
academy_kurse_eigen,true,5,2,1,1,1,0,true,false,true
academy_medaillen,true,3,1,1,0,1,0,false,false,true
ads_ergebnis,true,1,0,0,0,0,1,false,false,true
ads_kampagne,true,1,0,0,0,0,1,false,false,true
ads_kanal,true,1,0,0,0,0,1,false,false,true
ads_schaltung,true,1,0,0,0,0,1,false,false,true
ads_zugang,true,0,0,0,0,0,0,false,false,true
agentur_retainer,true,3,1,1,0,0,1,true,false,true
agentur_zeiten,true,3,1,1,0,0,1,true,false,true
agrar_massnahmen,true,3,1,1,0,0,1,true,false,true
agrar_schlaege,true,3,1,1,0,0,1,true,false,true
anfahrt_konfig,true,5,2,1,1,1,0,true,false,true
angebot_bundle,true,2,0,0,0,0,2,true,false,true
angebot_positionen,true,5,2,1,1,1,0,true,false,true
angebote,true,5,2,1,1,1,0,true,false,true
anlagegueter,true,4,1,1,1,0,1,true,false,true
api_schluessel,true,0,0,0,0,0,0,false,false,true
artikel,true,2,0,0,0,0,2,true,false,true
artikel_bestand_standort,true,5,1,1,1,1,1,true,false,true
artikel_standorte,true,5,2,1,1,1,0,true,false,true
asset_gruppen,true,4,1,1,1,0,1,true,false,true
assets,true,4,1,1,1,0,1,true,false,true
audit_log,true,2,2,0,0,0,0,true,false,true
aufgaben,true,2,1,0,0,0,1,true,false,true
aufgaben_kommentare,true,1,0,0,0,0,1,false,false,true
aufmass_positionen,true,8,3,2,2,1,0,true,false,true
aufmasse,true,8,3,2,2,1,0,true,false,true
auftraege,true,5,1,1,1,1,1,true,false,true
auftrag_positionen,true,1,0,0,0,0,1,false,false,true
ausgaben,true,4,1,1,1,1,0,false,false,true
ausschreibung,true,1,0,0,0,0,1,false,false,true
ausschreibung_profil,true,1,0,0,0,0,1,false,false,true
automation_log,true,5,2,1,1,1,0,true,false,true
automation_regeln,true,5,2,1,1,1,0,true,false,true
autoresponder_lauf,true,4,1,1,1,0,1,true,false,true
autoresponder_schritt,true,4,1,1,1,0,1,true,false,true
autoresponder_sequenz,true,4,1,1,1,0,1,true,false,true
autoresponder_versand,true,2,1,0,0,0,1,true,false,true
bank_zugang,true,0,0,0,0,0,0,false,false,true
bau_abnahmen,true,3,1,1,0,0,1,true,false,true
bau_gewaehrleistung,true,1,0,0,0,0,1,false,false,true
bau_lv,true,4,1,1,1,0,1,true,false,true
bau_lv_positionen,true,5,1,1,1,1,1,true,false,true
bau_maengelruege,true,2,1,0,0,0,1,true,false,true
bau_nachtrag,true,3,1,1,0,0,1,true,false,true
bau_plan,true,3,1,1,0,0,1,true,false,true
bau_plan_pin,true,4,1,1,1,0,1,true,false,true
baustellen_fotos,true,6,2,2,1,1,0,true,false,true
